id	mpn	title	description	link	image_link	price	condition	availability
"SP-00052"	"SP-00052"	"Set patronen voor jurkje, tuniek en legging B5877 - maat 6 tm 8 jaar."	"Patronenset voor twee jurkjes, een tuniek en leggings.  Inclusief naadtoeslag.  Omschrijving in het Engels en het Frans.  Moeilijkheidsgraad: gemakkelijk"	"http://www.kokettekatinka.be/set-patronen-voor-jurkje-tuniek-en-legging-b5877-maat-6-tm-8-jaar"	"http://www.kokettekatinka.be/media/catalog/product/b/5/b5877_1__1.jpg"	"11.95"	"new"	"in stock"
"SP-00053"	"SP-00053"	"Set patronen voor jurkje, tuniek en legging B5877 - maat 2 tm 5 jaar."	"Patronenset voor twee jurkjes, een tuniek en leggings.  Inclusief naadtoeslag.  Omschrijving in het Engels en het Frans.  Moeilijkheidsgraad: gemakkelijk"	"http://www.kokettekatinka.be/set-patronen-voor-jurkjes-tuniek-en-leggings-b-5877-maat-2-tm-5-jaar"	"http://www.kokettekatinka.be/media/catalog/product/b/5/b5877_1_.jpg"	"11.95"	"new"	"in stock"
"OM-00116"	"OM-00116"	"T-pen zilverkleur bolletje 50m"	"T-pen (nietstift) in zilverkleurig metaal met bolletje op uiteinde. Lengte 50mm."	"http://www.kokettekatinka.be/t-pen-zilverkleur-bolletje-50m"	"http://www.kokettekatinka.be/media/catalog/product/o/m/om-00116.jpg"	"0.5"	"new"	"in stock"
"SS-00281"	"SS-00281"	"Cosy sweatstof donkerblauw met spikkels"	"Lichte joggingstof met heel fijne spikkeltjes. Breedte stof 150cm.  Oeko-Tex gecertificeerd."	"http://www.kokettekatinka.be/cosy-joggingstof-donkerblauw-met-spikkels"	"http://www.kokettekatinka.be/media/catalog/product/s/s/ss-00281.jpg"	"14.95"	"new"	"in stock"
"KG-00422"	"KG-00422"	"Glaskraal ruit-ovaal rood 15x9mm"	"Kraal van Tjechisch glas, rood met fijne witte doortekening. De vorm zitten tussen ovaal en ruitvormig."	"http://www.kokettekatinka.be/glaskraal-ruit-ovaal-rood-15x9mm"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00422.jpg"	"0.39"	"new"	"in stock"
"KG-00423"	"KG-00423"	"Glaskraal ruit-ovaal oker 15x9mm"	"Kraal van Tjechisch glas, oker met fijne bruingrijze doortekening. De vorm zitten tussen ovaal en ruitvormig."	"http://www.kokettekatinka.be/glaskraal-ruit-ovaal-oker-15x9mm"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00423.jpg"	"0.39"	"new"	"in stock"
"KG-00424"	"KG-00424"	"Glaskraal ruit-ovaal olijfgroen 15x9mm"	"Kraal van Tjechisch glas, olijfgroen met fijne wit-rode doortekening. De vorm zitten tussen ovaal en ruitvormig."	"http://www.kokettekatinka.be/glaskraal-ruit-ovaal-olijfgroen-15x9mm"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00424.jpg"	"0.39"	"new"	"in stock"
"KG-00425"	"KG-00425"	"Glaskraal ovaal geribbeld zachtgeel 18x11mm"	"Ovalen kraal met ribbeltjes van Tjechisch glas, heel licht geel-groen. "	"http://www.kokettekatinka.be/glaskraal-ovaal-geribbeld-zachtgeel-18x11mm"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00425.jpg"	"0.95"	"new"	"in stock"
"KG-00426"	"KG-00426"	"Glaskraal ovaal geribbeld zwart 18x11mm"	"Ovalen kraal met ribbeltjes van Tjechisch glas."	"http://www.kokettekatinka.be/glaskraal-ovaal-geribbeld-zwart-18x11mm"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00426.jpg"	"0.95"	"new"	"in stock"
"KG-00427"	"KG-00427"	"Glaskraal ovaal geribbeld oudroze 18x11mm"	"Ovalen kraal met ribbeltjes van Tjechisch glas. Kleur oudroze."	"http://www.kokettekatinka.be/glaskraal-ovaal-geribbeld-oudroze-18x11mm"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00427.jpg"	"0.95"	"new"	"in stock"
"KG-00428"	"KG-00428"	"Glaskraal ovaal geribbeld oudroze 14x8mm"	"Ovalen kraal met ribbeltjes van Tjechisch glas. Kleur oudroze (feller van kleur dan het model van 18x1mm)."	"http://www.kokettekatinka.be/glaskraal-ovaal-geribbeld-oudroze-14x8mm"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00428.jpg"	"0.5"	"new"	"in stock"
"KG-00429"	"KG-00429"	"Glaskraal ovaal geribbeld zwart 14x8mm"	"Ovalen kraal met ribbeltjes van Tjechisch glas. "	"http://www.kokettekatinka.be/glaskraal-ovaal-geribbeld-zwart-14x8mm"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00429.jpg"	"0.5"	"new"	"in stock"
"KG-00430"	"KG-00430"	"Glaskraal ovaal geribbeld zachtgeel 14x8mm"	"Ovalen kraal met ribbeltjes van Tjechisch glas, heel licht geel-groen. "	"http://www.kokettekatinka.be/glaskraal-ovaal-geribbeld-zachtgeel-14x8mm"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00430.jpg"	"0.5"	"new"	"in stock"
"KG-00431"	"KG-00431"	"Glaskraal ovaal geribbeld limegroen 14x8mm"	"Ovalen kraal met ribbeltjes van Tjechisch glas, limegroen."	"http://www.kokettekatinka.be/glaskraal-ovaal-geribbeld-limegroen-14x8mm"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00431.jpg"	"0.5"	"new"	"in stock"
"KG-00432"	"KG-00432"	"Glaskraal plat ovaal oudroze 18x12mm"	"Platte ovalen kraal met motief in reliëf van Tjechisch glas. Kleur oudroze."	"http://www.kokettekatinka.be/glaskraal-plat-ovaal-oudroze-18x12mm"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00432.jpg"	"1.35"	"new"	"in stock"
"KG-00433"	"KG-00433"	"Glaskraal plat ovaal helder blauw 18x12mm"	"Platte ovalen kraal met motief in reliëf van Tjechisch glas. Kleur tussen helder kobalt en lavendel."	"http://www.kokettekatinka.be/glaskraal-plat-ovaal-helder-blauw-18x12mm"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00433.jpg"	"1.35"	"new"	"in stock"
"KG-00434"	"KG-00434"	"Glaskraal biconisch turkoois 8x11mm "	"Tsjechische glaskraal met groefjes. "	"http://www.kokettekatinka.be/glaskraal-biconisch-turkoois-8x11mm"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00434.jpg"	"0.49"	"new"	"in stock"
"KG-00435"	"KG-00435"	"Glaskraal biconisch blauw mat 8x11mm "	"Tsjechische glaskraal met groefjes. Lichtblauw met matte coating."	"http://www.kokettekatinka.be/glaskraal-biconisch-blauw-mat-8x11mm"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00435.jpg"	"0.49"	"new"	"in stock"
"KG-00436"	"KG-00436"	"Glaskraal lang ovaal kleurenmix 15x6mm "	"Langwerpig ovalen kraal van Tsjechisch glas. Transparant met tinten van blauw, groen en paars."	"http://www.kokettekatinka.be/glaskraal-lang-ovaal-kleurenmix-15x6mm"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00436.jpg"	"0.25"	"new"	"in stock"
"KG-00437"	"KG-00437"	"Glaskraal ovaal roze glanzend 12x9mm "	"Ovalen kraal van Tsjechisch glas met aan twee zijden een afgevlakte kant. Transparant roze met glanzende coating."	"http://www.kokettekatinka.be/glaskraal-ovaal-roze-glanzend-12x9mm"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00437.jpg"	"0.49"	"new"	"in stock"
"KG-00438"	"KG-00438"	"Glaskraal gedraaid geel glanzend 19x13mm "	"Gedraaide kraal van Tsjechisch glas. Transparant zachtgeel glanzende coating."	"http://www.kokettekatinka.be/glaskraal-gedraaid-geel-glanzend-19x13mm"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00438.jpg"	"0.59"	"new"	"in stock"
"KG-00439"	"KG-00439"	"Glaskraal gedraaid zwart 19x13mm "	"Gedraaide kraal van Tsjechisch glas. "	"http://www.kokettekatinka.be/glaskraal-gedraaid-zwart-19x13mm"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00439.jpg"	"0.39"	"new"	"in stock"
